mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
24475,Mangaka-san to Assistant-san to The Animation Specials,Special,7.15,55065,3434,Comedy|Ecchi,3,8,12.0,65.0,1.5626121731137725e-05,4.492331005089825e-07,2.744069889672616e-09,12442,3397.0,4072.0
20723,Kyousou Giga (TV) Recaps,Special,6.51,11711,6842,Action|Fantasy,3,6,9.0,63.0,1.562310569065877e-05,1.0838777092140791e-07,3.7126043854832358e-09,12443,6634.0,8229.0
2075,Kiko-chan Smile,TV,6.71,2431,12061,Adventure|Comedy|Slice of Life,2,2,2.0,2.0,1.5615616532877782e-05,1.6034664089823384e-11,1.6809202919391333e-11,12444,11354.0,6739.0
52252,Delivery Chi*ko wo Tanomitai Oneesan,OVA,6.5,5755,9110,Hentai,1,1,1.0,1.0,1.5612987488616416e-05,7.854011105737849e-17,2.0496182526956028e-16,12445,8750.0,8293.0
36309,Butlers: Chitose Momotose Monogatari,TV,5.66,25951,4982,Comedy|Supernatural,3,3,7.0,7.0,1.5611555830427573e-05,2.57772233595712e-10,2.88743792110038e-10,12446,4888.0,13274.0
37600,Frame Arms Girl Movie: Kyakkya Ufufu na Wonderland,Movie,5.91,5105,9521,Action|Mecha|Sci-Fi|Slice of Life,3,3,5.0,11.0,1.5607440085087304e-05,2.9523247503383016e-11,8.612774373254055e-10,12447,9121.0,12018.0
31156,"Kuusen Madoushi Kouhosei no Kyoukan: Lecty no, Ikimonogatari",OVA,6.37,26464,4940,Action|Drama|Fantasy,1,1,10.0,10.0,1.5606957026215816e-05,6.222916041231861e-11,7.466146584078244e-11,12448,4849.0,9229.0
23351,Youkaiden Nekome Kozou,TV,5.95,1424,13908,Adventure|Horror|Supernatural,1,1,1.0,1.0,1.5606365783671763e-05,4.120853305168406e-15,4.345332258678512e-15,12449,12744.0,11797.0
4082,Kaibutsu Oujo: Konsui Oujo,Special,6.93,12688,6621,Comedy|Horror|Supernatural,1,3,10.0,17.0,1.5602182759990448e-05,3.4153009676052137e-09,6.234463103559791e-10,12450,6429.0,5313.0
438,Phantom The Animation,OVA,6.43,15653,6083,Action|Drama|Thriller,3,3,12.0,12.0,1.559285932946855e-05,3.014749054921452e-08,3.253107539577824e-08,12451,5935.0,8803.0
2790,Oira Sukeban,OVA,5.16,3109,11164,Comedy|Ecchi,3,3,3.0,3.0,1.5590344693267942e-05,1.4368322348900805e-09,1.188058654451606e-09,12452,10589.0,14729.0
10424,Ona x2,OVA,5.46,2995,11303,Hentai,1,1,1.0,1.0,1.5589943032568467e-05,3.6092141236359736e-20,2.3477914577181273e-20,12453,10702.0,14018.0
56172,"Temple x Kanojo, Okarishimasu",ONA,5.81,4492,9937,Comedy,2,2,4.0,4.0,1.5584966536748767e-05,1.1745531091046022e-10,1.1761952770941028e-10,12454,9492.0,12551.0
10435,Boyfriend,Special,5.74,1450,13831,Drama|Romance|Slice of Life|Sports,2,2,7.0,7.0,1.5581728457126013e-05,8.453837390801424e-11,1.9305409482310147e-10,12455,12697.0,12880.0
